tweet, time
RT @IntoTheGloss: @glossier's Community Manager discusses her beauty muse ; her ideal braid-out &amp; love of glow;https://t.co/4aeyyIJMNt,Mon Sep 11 20:52:15 +0000 2017
New week; fresh start; stay moisturized out there! 💦,Mon Sep 11 17:19:35 +0000 2017
@doitwithstyles We had a London Studio only on July 22nd; but we'll be shipping to the U.K. later this year! Stay tuned for more details.,Mon Sep 11 14:44:33 +0000 2017
@hurlamabollocks Stay tuned for more details soon ✨,Mon Sep 11 13:58:05 +0000 2017
RT @caitlynjo96: Also the waitress saw my @glossier bag today and we had a full on conversation about how much we love the brand. Bless.,Mon Sep 11 12:20:15 +0000 2017
RT @aoryan90: @glossier Invisible Shield is the only sunscreen I've ever finished and the only one I've managed to use everyday. Thank you!…,Mon Sep 11 12:19:56 +0000 2017
😎 rg https://t.co/ocuYPY01H0 https://t.co/GSI3tPWjfy,Mon Sep 11 12:17:40 +0000 2017
@H0LA_BITCHATO DM us for details!,Sun Sep 10 19:03:47 +0000 2017
@Emily_Goring @beccabbrown We'll be shipping to the U.K. later this autumn; and we'll keep you posted 👋,Sun Sep 10 17:03:06 +0000 2017
@SarrraG Our NYC Showroom is currently our only permanent storefront 👍,Sun Sep 10 13:10:37 +0000 2017
@GIGIJourn DM us for details 👋,Sun Sep 10 13:10:03 +0000 2017
@kevy_oh We're working on making Invisible Shield available in Canada as soon as possible; and we will keep you posted 👍,Sun Sep 10 13:09:47 +0000 2017
@clitmermaidsumr DM us and we can help!,Sun Sep 10 13:08:13 +0000 2017
@hopeherfuture DM us and we can help 👍,Sun Sep 10 13:06:53 +0000 2017
@taniam82 @hopeherfuture Sorry to hear that! DM us your order number and shipping address; and we can help 👍,Sun Sep 10 13:06:24 +0000 2017
@Saathe We’ll be launching in Quebec next year!,Sat Sep 09 18:49:02 +0000 2017
Toronto &lt;3 https://t.co/T03YPsPq6v,Sat Sep 09 18:26:13 +0000 2017
RT @codiehiger: I HAVE CONVERTED MY MOTHER I AM SO PROUD @glossier https://t.co/38IaB84xIT,Sat Sep 09 18:24:59 +0000 2017
@oh_lindsey DM us and we can help!,Fri Sep 08 17:05:18 +0000 2017
@Asherlyfoto yes! :),Fri Sep 08 17:04:28 +0000 2017
When you're in the 6 💖 https://t.co/9pBXPJxuso https://t.co/QUJeIZqQ1m,Fri Sep 08 14:07:46 +0000 2017
@lishhx @hybridqueens We will be shipping to the U.K. this autumn 👋,Thu Sep 07 21:39:58 +0000 2017
@PearlKindjarsky We will be shipping to the U.K. this autumn 👋,Thu Sep 07 21:31:29 +0000 2017
Toronto! We can't wait to meet you IRL.  ✨🇨🇦 Tomorrow—September 14th. Bring a friend. Shop Glossier. It will be fun… https://t.co/SC7uIyTzi2,Thu Sep 07 21:18:09 +0000 2017
&lt;3 https://t.co/wda3LVgDFA,Thu Sep 07 18:06:08 +0000 2017
@ojdavies Later this autumn 👋,Thu Sep 07 17:32:16 +0000 2017
@isabel9thLP DM us your order number and we can help!,Thu Sep 07 16:35:49 +0000 2017
😂 https://t.co/g4TXZx5Csh,Thu Sep 07 15:47:08 +0000 2017
@anomalisas DM us for details!,Thu Sep 07 15:23:44 +0000 2017
@DIORPOWER @adouremoss Sorry to hear that! DM us your order number and we can help.,Thu Sep 07 15:05:23 +0000 2017
RT @stephanieediaz: Oh snap. Just got my first @glossier order and I'm already obsessed. This is dangerous.,Wed Sep 06 17:47:54 +0000 2017
What's everyone reading right now? #NationalReadABookDay👽📖 https://t.co/T9iZhzSBjq,Wed Sep 06 17:09:16 +0000 2017
You know your favorite comfy jeans; sneakers; and T-shirt that you wear basically every day? That's the Phase 1 Set; except for your face 😊️,Wed Sep 06 15:31:04 +0000 2017
Enter to win a trip to Miami... filled with nutritious meals; smoothies; wellness consultations; + $250 to Glossier https://t.co/IyfmLzu8nT,Wed Sep 06 15:16:54 +0000 2017
@claire_aiello RSVP on 9/6 at https://t.co/9pBXPJxuso,Tue Sep 05 19:21:54 +0000 2017
@roboborobobo RSVP will open 9/6 on https://t.co/9pBXPJxuso; and you can RSVP for a friend 👋,Tue Sep 05 19:20:37 +0000 2017
RT @keepingitkourt: Recently switched up my skincare regimen &amp; according to my cousin; today my skin is glowing! Thanks @glossier 😍,Tue Sep 05 16:39:38 +0000 2017
@Uliana_Olson 🙏,Tue Sep 05 16:38:20 +0000 2017
Looking at your inbox after the long weekend https://t.co/jizz8DmICR,Tue Sep 05 15:05:45 +0000 2017
Cloud Paint in Beam 🌅 @KarinaYob https://t.co/B57DAvaXj3,Tue Sep 05 13:27:52 +0000 2017
RT @PopCultRainman: NY beauty disrupters @Glossier will host a ✨ POP UP at #TIFF2017 + will be screening Sophia Coppola's 'Somewhere' ➡️htt…,Mon Sep 04 21:16:18 +0000 2017
repost @girlboss https://t.co/HbQFu5u5SW,Mon Sep 04 16:48:00 +0000 2017
@abbi_cuffe Anything is possible ✨,Mon Sep 04 13:48:07 +0000 2017
#art 📌 https://t.co/IFwDLYPiKe,Sun Sep 03 23:33:00 +0000 2017
@nochillbunny We offer free returns and exchanges so that you can try our products; and we'll be shipping to the UK later this autumn 👋,Sun Sep 03 22:06:57 +0000 2017
@poppy_faye Yes! Priming Moisturizer has an anti-redness complex that soothes and evens skin tone; leaving a clean; dewy; balanced finish.,Sun Sep 03 21:55:18 +0000 2017
Kelsey Simone wears Lip Gloss ✨☁️ https://t.co/XeA3WHocrL,Sun Sep 03 21:34:00 +0000 2017
😮💭❤️ https://t.co/kIlgbLhB2N,Sat Sep 02 23:31:00 +0000 2017
"Restocked in my super hero; Glossier Super Pure ⚡️"—https://t.co/mgb3dZmw1Z https://t.co/YPFJF3lSST,Sat Sep 02 19:32:00 +0000 2017
@XueYingLi1 DM us and we can help!,Sat Sep 02 15:06:07 +0000 2017
#glossierpink 📍 Milan; Italy. pic via https://t.co/b3dKziRH3s https://t.co/q6aAx0CLYk,Sat Sep 02 14:31:00 +0000 2017
@_samanthaf_ DM us and we can help 💕,Fri Sep 01 16:20:45 +0000 2017
Patiently waiting for the long weekend... https://t.co/LEeg5V4zrc,Fri Sep 01 16:19:12 +0000 2017
Happy Friday! Please enjoy a new wallpaper for your phone—&gt; https://t.co/J50ewx4TLu,Fri Sep 01 15:21:31 +0000 2017
Miso vs. Balm Dotcom https://t.co/U7aoOQqec2 https://t.co/j4TScLIuD5,Fri Sep 01 14:58:23 +0000 2017
@kim_jiayi @VeraShrestha We're working hard to be available in as many countries as we can! Stay tuned for more details.,Fri Sep 01 14:53:14 +0000 2017
@Garbane @martinawiren @CBussey89 @IndiaDhami We’re excited to be shipping to the U.K. later this autumn! Stay tuned for more details.,Fri Sep 01 14:52:35 +0000 2017
@LongoTalksALot The Showroom is open Monday-Friday 12-8p; and Saturday-Sunday 11p-7p 👋,Fri Sep 01 14:47:53 +0000 2017
@arabianflower If it doesn't arrive in time; DM us your order number and we can help.,Fri Sep 01 14:44:29 +0000 2017
Get ready this morning with Glossier friend and model Jordan Rebello https://t.co/AIZjxA6gVO,Fri Sep 01 13:54:01 +0000 2017
💤 You should sleep more 💤 In the meantime; take this. Super Glow serum is like a good night of sleep in a bottle.… https://t.co/2Ej8ihwGQD,Thu Aug 31 21:00:10 +0000 2017
RT @alyssuss: s/o to @glossier for making me feel so confident &amp; comfortable with minimal to no makeup on✨💕🌸,Thu Aug 31 20:39:57 +0000 2017
RT @VictoriaAveyard: Swear to God the @glossier pure serum is the only thing keeping me from a full blown breakout on the UK book tour. 😇,Thu Aug 31 20:39:39 +0000 2017
RT @lilstreetrat: Can't believe I went so long sleepin on the @glossier priming moisturizer rich; this stuff is like a heavenly cloud on my…,Thu Aug 31 20:39:34 +0000 2017
Toronto; we're coming. https://t.co/OrdygNKZ2R,Thu Aug 31 20:35:55 +0000 2017
@isabel9thLP DM us your order number and we'll look into it.,Thu Aug 31 19:54:29 +0000 2017
@Dalehna_ @samanthamaria We'll be shipping to the U.K. this autumn. Stay tuned!,Thu Aug 31 18:49:25 +0000 2017
@LongoTalksALot The Glossier Showroom is open on Saturdays from 11am-7pm.,Thu Aug 31 18:45:33 +0000 2017
🔁 @_mollify_ https://t.co/qj2Y2CG8KZ,Thu Aug 31 17:00:30 +0000 2017
Have a nice day! https://t.co/FUhjoLbGMc,Thu Aug 31 14:00:12 +0000 2017
RT @hbicerica: i got boy brow and now i get boy brow,Wed Aug 30 22:06:10 +0000 2017
Thirsty? Drink up. 💦  Super Bounce serum 💦  replenishes skin post-hangover; post-layover; or whenever.… https://t.co/kFzZLUtQ6A,Wed Aug 30 21:00:07 +0000 2017
"Wake up; glossier; sleep; repeat ✨💤🔁" https://t.co/eaxYuB43JO https://t.co/elt5SeYePN,Wed Aug 30 17:00:25 +0000 2017
RT @r_tay_: I swear; @glossier are KILLING IT. Three main skincare concerns; framed by modern 'issues' 👀paired with solutions https://t.co/…,Tue Aug 29 21:51:52 +0000 2017
Super Pure serum💧Gets irritation in check; soothes redness; helps calm blemishes 🚨 https://t.co/4WGXUJGvqW https://t.co/bNWwlegvP0,Tue Aug 29 21:00:12 +0000 2017
@divrina We're working hard on getting to as many countries as we can! Stay tuned.,Tue Aug 29 17:47:00 +0000 2017
@ania_boniecka @rzarectum We ship everywhere in Canada besides Quebec (we'll be there next year)!,Tue Aug 29 17:22:57 +0000 2017
"Second home" ❤️ https://t.co/e8jcYV4ziJ https://t.co/SVlcq9bssa,Tue Aug 29 17:00:19 +0000 2017
https://t.co/Sy78ATO4Cp,Tue Aug 29 15:00:08 +0000 2017
.@katebosworth &lt;3 &lt;3 https://t.co/nJmu9sSF1H,Tue Aug 29 14:15:43 +0000 2017
@_LittleLo_ Our Showroom Editors' jumpsuits are utility jumpsuits we dyed Glossier Pink 💕,Mon Aug 28 21:55:57 +0000 2017
@amandaqxo Sorry that happened! DM us with your order number and we can help ASAP.,Mon Aug 28 21:38:45 +0000 2017
RT @IntoTheGloss: After mastering brows &amp; skin; she has fun with the rest;https://t.co/US1oz6RuI9,Mon Aug 28 21:00:14 +0000 2017
✨ The Supers ✨ Three concentrated serums packed with nutrients to give skin the boost it needs on any given day.⚡️… https://t.co/HTgKc0WJ2A,Mon Aug 28 21:00:10 +0000 2017
@amandaqxo Sorry that happened! DM us with your order number and we can help.,Mon Aug 28 19:17:19 +0000 2017
@dizzydinstyle Unfortunately our headband gift with purchase was limited-time only. Sorry you missed it!,Mon Aug 28 19:16:45 +0000 2017
@reeniebeenie200 The headbands have been retired; but new things are coming. You’ll find out here first 💕,Mon Aug 28 19:13:41 +0000 2017
💫 #glossierinthewild @maseyidk https://t.co/QArclVrs7t,Mon Aug 28 17:00:33 +0000 2017
.@intothegloss' Emily Ferber makes a case for using serum under makeup https://t.co/sln5mNyiVx,Mon Aug 28 13:00:03 +0000 2017
Inspired. 🌇 https://t.co/9EmMxrthrE https://t.co/z9k3tNfwTX,Sun Aug 27 23:00:08 +0000 2017
@SincerelyYari Anything is possible for the future ✨,Sun Aug 27 21:07:15 +0000 2017
@aileenbee_ We don't currently offer the Terry Headband for purchase; but we'll keep you posted if that changes 👌,Sun Aug 27 21:05:12 +0000 2017
Collection 👌  https://t.co/NY1afD6Ps6 https://t.co/4dizBk0HOd,Sun Aug 27 19:00:05 +0000 2017
@anakinstheme Feel free; but we formulated Invisible Shield to be a facial sunscreen 😎,Sun Aug 27 16:28:12 +0000 2017
@Keshia_Chauhan Sorry to hear that! DM us with your email and we can help.,Sun Aug 27 16:26:10 +0000 2017
@AlexandriaBeig4 Not to worry; that can happen due to the natural oils in the Balm Dotcom! Gently massage the tube to remix 👍,Sun Aug 27 16:24:01 +0000 2017
"Skin first. Fluff second." https://t.co/q82O8nMVvm #catsofglossier https://t.co/WxWqrDiLlX,Sun Aug 27 15:00:08 +0000 2017
Dewy tonight ✨ https://t.co/I1VxjROcSN,Sat Aug 26 23:00:05 +0000 2017
"I think mindfulness is woven into everything we do. Be proud of where you're at."—our founder + CEO @emilywweiss https://t.co/ZuvLcS4LSB,Sat Aug 26 15:00:01 +0000 2017
@maykallday Oh no! DM us and we can help.,Sat Aug 26 13:22:16 +0000 2017
The Mega Greens Galaxy Pack—the 20-minute detox that leaves your skin with a velvety-matte finish.… https://t.co/CCXYhBkqSO,Fri Aug 25 21:00:18 +0000 2017
Staying in 💁 https://t.co/8EgDOWlDXV,Fri Aug 25 21:00:14 +0000 2017
@hignettflix DM us and we can help :),Fri Aug 25 17:25:48 +0000 2017
@JenesaisCath We’ll be launching in Quebec next year! Stay tuned for updates ✨,Fri Aug 25 16:11:31 +0000 2017
@juiceee DM us and we can help :),Fri Aug 25 15:52:52 +0000 2017
@anakinstheme Yes! You can refrigerate your masks for a cooling effect ✨,Fri Aug 25 15:51:49 +0000 2017
@petvrparkers DM us a selfie and we can recommend a shade :),Fri Aug 25 15:02:53 +0000 2017
@theneuetimes DM us and we can help!,Fri Aug 25 15:02:23 +0000 2017
Things to do while you mask https://t.co/NQ6Cnl5fdL,Fri Aug 25 13:00:23 +0000 2017
The Moisturizing Moon Mask: so soothing and comforting; you can fall asleep in it. https://t.co/wr5ur7ZWHu https://t.co/sKtUrPeEGt,Thu Aug 24 21:00:11 +0000 2017
"No need for words" https://t.co/mgb3dZmw1Z https://t.co/upWufDrLXx,Thu Aug 24 17:00:34 +0000 2017
@Heyitskaate DM us for more details.,Thu Aug 24 16:09:11 +0000 2017
@imalalooya Our headband gift with purchase was limited-time only. So sorry you missed it!,Thu Aug 24 15:27:29 +0000 2017
@cocoagoddess13 DM us and we can help 👍,Thu Aug 24 15:21:55 +0000 2017
RT @madsvogel: tfw you put on wowder and your pores disappear 👌🏼👌🏼(@glossier),Thu Aug 24 15:05:14 +0000 2017
@cyberslum1 💗,Thu Aug 24 13:02:19 +0000 2017
🏊‍♀️ https://t.co/IbE1u1yRFE https://t.co/dUaIpY9pK0,Thu Aug 24 13:00:24 +0000 2017
"Thank you I needed this"– your skin https://t.co/Aa3sGF8pAi https://t.co/vtJhBuvVUv,Wed Aug 23 21:00:12 +0000 2017
@jhnazman Use Cloud Paint first then Wowder 👍,Wed Aug 23 16:32:28 +0000 2017
@Priscilla143 Unfortunately our headband gift with purchase was limited-time only. So sorry you missed it!,Wed Aug 23 16:27:50 +0000 2017
@browniemaker69 We'll be expanding shipping to the U.K. this autumn. More details to come!,Wed Aug 23 16:26:39 +0000 2017
@AliciaNoelWill Sorry for any confusion. DM us your order number and we'd be happy to help!,Wed Aug 23 15:08:54 +0000 2017
Morning 💗 pic via https://t.co/xbsqU1D4Q8 https://t.co/67BuWqjxgP,Wed Aug 23 13:45:04 +0000 2017
The Mega Greens Galaxy Pack and Moisturizing Moon Mask were made to work together. Save $4 when you get both.… https://t.co/iiotsF9OUs,Tue Aug 22 21:00:13 +0000 2017
RT @IntoTheGloss: How to mask &amp; carry on with life;https://t.co/djMrEBrAHo,Tue Aug 22 19:17:59 +0000 2017
@Zoleeofficial DM us and we can help!,Tue Aug 22 18:47:06 +0000 2017
@argowho Sorry to hear that! DM us your order number and we can help.,Tue Aug 22 18:45:52 +0000 2017
👽🌙 https://t.co/KV0u6Pppuw https://t.co/njUF2laSDx,Tue Aug 22 17:00:21 +0000 2017
@whoisjaen Oh no! DM us and we can help.,Tue Aug 22 15:24:44 +0000 2017
✌️ https://t.co/GlndPdPeZb,Tue Aug 22 14:00:09 +0000 2017
RT @sarahbethking: I just placed my second @glossier order this month. I think I'm hooked.,Tue Aug 22 13:15:55 +0000 2017
@sunbeamshow Sorry to hear that! DM us your order number and we can help.,Mon Aug 21 23:54:45 +0000 2017
@Helena_Hussey DM us for details!,Mon Aug 21 22:10:08 +0000 2017
@DeelyBopper We're excited to be shipping to the U.K. later this year! Stay tuned for more updates ✨,Mon Aug 21 21:46:29 +0000 2017
@annnnnabella DM us and we can help!,Mon Aug 21 21:46:15 +0000 2017
@thatsriss DM us your order number and we can help!,Mon Aug 21 21:45:53 +0000 2017
@0501193o @lizaerler @lividangeI We're working hard to be available in as many countries as we can! Stay tuned for more details.,Mon Aug 21 21:45:32 +0000 2017
@katmarlin95 DM us for details!,Mon Aug 21 21:44:51 +0000 2017
RT @taycollett: I think my most commonly said sentence is "where is my @glossier" #priorities,Mon Aug 21 21:24:03 +0000 2017
🔥 The Glossier Terry Headband 🔥 🆓 with any skincare purchase until they run out forever. Use code HEADBAND… https://t.co/cfBBuewmQY,Mon Aug 21 21:00:59 +0000 2017
@tyrabanks we have a question for you! Can you meet us in the DMs? &lt;3,Mon Aug 21 20:52:04 +0000 2017
Slather the Mega Greens mask on your face 👽 It detoxifies pores while gently conditioning + nourishing your skin… https://t.co/xVE54ZUIim,Mon Aug 21 19:01:25 +0000 2017
Cool. https://t.co/MgN58emwmH,Mon Aug 21 17:55:08 +0000 2017
RT @IntoTheGloss: Including a RMS dupe and a trusty Diptyque trio;https://t.co/pVV9MeG9eb,Mon Aug 21 17:46:16 +0000 2017
RT @trumanbIacck: thank u @glossier for making my skin look &amp; feel amazing ✨😭💘,Mon Aug 21 17:00:29 +0000 2017
@cluIess DM us for details 👋,Mon Aug 21 01:23:41 +0000 2017
@cmmoynihan Sorry to hear that! DM us your order number and we can help.,Mon Aug 21 01:21:15 +0000 2017
@CatherineKim We don't currently offer refills - we will keep you posted if anything changes!,Sun Aug 20 20:40:35 +0000 2017
@the_nicolemarie We don't have a first time promo code; but we do have free shipping with any order 2 items or more.,Sun Aug 20 20:39:07 +0000 2017
Après-Sun Tip: Stick the Moon Mask in the fridge to instantly  soothe stressed skin + re-hydrate pores 💧… https://t.co/GdXHnemPXc,Sun Aug 20 17:37:42 +0000 2017
@cutiepidalecki We're excited to be shipping to the U.K. later this year! Stay tuned for more updates ✨,Sun Aug 20 14:03:57 +0000 2017
@wtmsophia DM us your order number and we can help👍,Sun Aug 20 13:50:17 +0000 2017
@kangjigun We're working hard to be available in as many countries as we can! Stay tuned for more details 👋,Sun Aug 20 13:49:59 +0000 2017
"I started with Beam; then went back and bought all four."—Juliet from Boston https://t.co/nDudGSmlsO https://t.co/fOO7UgSKWE,Sat Aug 19 23:00:39 +0000 2017
@reaaa_p We're excited to be shipping to the U.K. this autumn ✨,Sat Aug 19 19:19:11 +0000 2017
Wowder will: cut shine; blur the appearance of pores; set makeup; look like skin. 💥 https://t.co/WuaXMBtJ2y https://t.co/zknmSw2XJ2,Sat Aug 19 19:00:46 +0000 2017
These will look really good on you. https://t.co/RXxbhFKjua,Sat Aug 19 15:01:21 +0000 2017
Beauty/Art via https://t.co/Ao3dqT1Wgq https://t.co/b2QdJYzgph,Fri Aug 18 21:01:05 +0000 2017
💦💦 pic via https://t.co/jQKVykZlum https://t.co/Te6dM1X09g,Fri Aug 18 18:21:07 +0000 2017
@freckledfawns Wowder is a finishing powder. For extra coverage; we recommend layering over Perfecting Skin Tint and/or Stretch Concealer!,Fri Aug 18 17:12:23 +0000 2017
@xvanchiaar Be sure to click over to our U.S. site to shop--we haven't changed our prices!,Fri Aug 18 16:45:20 +0000 2017
@aroduribe Oh no! We'd be happy to help--DM us your order number and we'll take care of it.,Fri Aug 18 16:32:18 +0000 2017
@whodatgirl_2bd DM us and we can help troubleshoot!,Thu Aug 17 19:51:47 +0000 2017
@alyssen So sorry about that! DM us your order # and we'll fix it for you,Thu Aug 17 19:45:50 +0000 2017
@traciemariep Oh no! DM us your order # so we can help,Thu Aug 17 18:20:55 +0000 2017
@chanlaaaa Oh no! DM us and we can try and help,Thu Aug 17 17:18:10 +0000 2017
@xvanchiaar We're working hard to be available in as many countries as we can! Stay tuned for more details,Thu Aug 17 17:17:00 +0000 2017
@tarat234 Sorry to hear that! DM us and we'll take care of it.,Thu Aug 17 14:38:49 +0000 2017
@sofsboutelIas Oh no! DM us and we'll help right away.,Thu Aug 17 14:21:27 +0000 2017
Try Cloud Paint in Dusk 👐🏽 https://t.co/ZPBSAiJWzu https://t.co/V3DSQ9kEdA,Thu Aug 17 13:31:01 +0000 2017
.@bustle https://t.co/vSwcnh872K,Thu Aug 17 13:16:28 +0000 2017
@kimjongilllest We're excited to be shipping to the U.K. later this autumn! Stay tuned for more updates ✨,Wed Aug 16 21:22:49 +0000 2017
@LaraMS DM us your order number and we can help👍,Wed Aug 16 21:05:00 +0000 2017
@ashleylynnfry All of our products are TSA-approved minus Milky Jelly. We'll pass your feedback onto our Product Team!,Wed Aug 16 17:02:28 +0000 2017
@itsalyssalin Check your DM 👋,Wed Aug 16 15:29:40 +0000 2017
@felicitych_ We’re excited to be shipping to the U.K. later this autumn! Stay tuned for more details.,Wed Aug 16 15:15:48 +0000 2017
@notgiorgia_ We're working hard to be available in as many countries as we can! Stay tuned for more details.,Wed Aug 16 15:15:26 +0000 2017
@AllysonLiu Sorry to hear that! DM us your order number and we can help.,Wed Aug 16 15:08:33 +0000 2017
@LeoniePlz We're working hard to be available in as many countries as we can! Stay tuned for more details.,Wed Aug 16 15:00:45 +0000 2017
@sonivpen We’re excited to be shipping to Québec in 2018! Stay tuned for more details.,Wed Aug 16 15:00:09 +0000 2017
@goddessbadlands We're working hard to be available in as many countries as we can! Stay tuned for more details.,Wed Aug 16 14:59:26 +0000 2017
RT @anotherweebabe: when ur best friend asks you if you like your @glossier collection and you're like "oh thank god you finally asked" htt…,Wed Aug 16 12:40:17 +0000 2017
RT @ivrashton: A brilliant piece on the inimitable @EmilyWWeiss; how she founded @IntoTheGloss &amp; then created @glossier 🌸 https://t.co/IIjS…,Wed Aug 16 12:39:39 +0000 2017
RT @badgurrrlgigi: the hype about @glossier is real y'all✨ thank u for finally blessing my canadian skin👼🏻,Wed Aug 16 02:08:01 +0000 2017
RT @martha_p7: Obsessed with everything @glossier--their marketing; their products; their team. Way to go 🙌 https://t.co/uvUuRhFEZE,Wed Aug 16 02:07:24 +0000 2017
💄⚡️🌆 https://t.co/pH19bOiTiA https://t.co/gzZUu51zZ7,Wed Aug 16 01:57:35 +0000 2017
RT @AwakenedMoon: @glossier Generation G in Leo is 🙌. Newest must have in my bag!,Wed Aug 16 01:57:24 +0000 2017
https://t.co/MeRmRV7YsW,Tue Aug 15 21:38:22 +0000 2017
@terrashannon DM us your email and we can help 👋,Tue Aug 15 18:51:43 +0000 2017
@hopelsswander We're working hard to be available in as many countries as we can! Stay tuned for more details.,Tue Aug 15 14:48:09 +0000 2017
@hemelavanilla Sorry to hear that! DM us your order number and we can help.,Tue Aug 15 14:46:55 +0000 2017
@goldenblack_ We’re excited to be shipping to France in 2018! Stay tuned for more details.,Tue Aug 15 14:46:25 +0000 2017
@itsalyssalin DM us for details 💕,Tue Aug 15 14:45:03 +0000 2017
@iwillendyouinc Sorry to hear that! DM us your order number and we can help.,Tue Aug 15 14:43:45 +0000 2017
@venusarianas We’re excited to be shipping to France in 2018! Stay tuned for more details.,Tue Aug 15 14:42:26 +0000 2017
@lexillis We recommend wearing Cloud Paint over any powders ✨,Mon Aug 14 20:12:59 +0000 2017
@beautebybethan Check out https://t.co/BfBxPwF4On for our current opportunities 👋,Mon Aug 14 18:25:03 +0000 2017
Cloud Paint seamless cheek color is for making happy little clouds of color on the face. https://t.co/tpNIG0dhRe,Mon Aug 14 18:12:14 +0000 2017
@RaquelHRibeiro @AlexaFernndez1 @babyams We're working hard to be available in as many countries as we can! Stay tuned for more details.,Mon Aug 14 14:30:51 +0000 2017
@__LinaGarcia Sorry to hear that! DM us your email and order number and we can help.,Mon Aug 14 14:29:15 +0000 2017
@HEADCARSKEISHA Sorry to hear that! DM us your email and we can help.,Mon Aug 14 14:28:15 +0000 2017
@izziebridgwood We’re excited to be shipping to the U.K. this autumn! Stay tuned for more details.,Mon Aug 14 14:27:17 +0000 2017
@muvagIow Sorry to hear that! DM us your email and we can help.,Mon Aug 14 14:26:10 +0000 2017
RT @_IsaReynoso: relaxing tonight c/o the @glossier mask duo 😌 mega greens mask first 💚 (&amp; stoked to try the moon mask right after) ✨,Sun Aug 13 21:35:49 +0000 2017
RT @catherinejarboe: I want to live here @glossier https://t.co/9eZCibo64l,Sun Aug 13 21:35:24 +0000 2017
@harrymakesitup What Glossier are you wearing? :),Sun Aug 13 21:35:04 +0000 2017
RT @michianies: @glossier love using wowder! it's lightweight and it makes my t-zone less oily ☺️✨,Sun Aug 13 21:33:13 +0000 2017
😍 https://t.co/CVgdu1cY98 https://t.co/aSD4DgnHe4,Sun Aug 13 19:00:15 +0000 2017
Use Wowder to mattify and set makeup on non-dewy days. All over; or just on your T-zone. Or just under your eyes. O… https://t.co/99YLOEknzd,Sun Aug 13 16:31:10 +0000 2017
@KristenxLeanne Glossier is 100% Cruelty free. DM us with any more questions!,Sun Aug 13 13:35:30 +0000 2017
@royaltenenbalms Sorry to hear that! DM us your order number and we can help.,Sun Aug 13 13:32:02 +0000 2017
@AlexaRaisa Sorry to hear that! DM us your order number and we can help.,Sun Aug 13 13:31:14 +0000 2017
@brennduhhh Our gTEAM is working hard to get back to you ASAP. Feel free to DM us and we can help.,Sun Aug 13 13:30:32 +0000 2017
@jennawant DM us and we can help!,Sat Aug 12 21:11:54 +0000 2017
☁️☁️☁️☁️ https://t.co/QHngD45yoV https://t.co/NxOgt7CGJl,Sat Aug 12 15:00:15 +0000 2017
@lloydjay_ Oh no! DM us your order number and we'll take care of it ASAP.,Fri Aug 11 21:31:40 +0000 2017
https://t.co/eC7TfEumQK,Fri Aug 11 17:10:03 +0000 2017
@HollyVandev Oh no! DM us and we can help.,Fri Aug 11 16:37:48 +0000 2017
No filter just Canada 📍 Cameron Falls; Waterton National Park https://t.co/RFEZnq1fsJ,Fri Aug 11 13:00:13 +0000 2017
And the winner is... https://t.co/QhhYHzSEri,Fri Aug 11 12:51:31 +0000 2017
Wowder 💥 weightless 💥 finishing powder 💥 Yohana wears Dark/Deep. https://t.co/T3ItwDJ1eM https://t.co/P50KAYRGXo,Thu Aug 10 21:00:39 +0000 2017
@aamarie22 DM us for details!,Thu Aug 10 19:04:44 +0000 2017
@izxfortino Oh no! DM us your order number and we'll look into it ASAP.,Thu Aug 10 18:13:56 +0000 2017
@alyssums7 We're available in Canada! Visit us at https://t.co/lJPHYSrKkl to shop :),Thu Aug 10 17:36:36 +0000 2017
"I don't need anything else ✨(maybe a bigger bag)" https://t.co/dh64cefwgn https://t.co/pdgeTMYeML,Thu Aug 10 17:00:22 +0000 2017
No filter just Canada 📍 https://t.co/W0p1gnYx2G,Thu Aug 10 14:22:22 +0000 2017
@m83387570 Sorry that happened! DM us and we can help.,Wed Aug 09 22:05:41 +0000 2017
@_gkenn Sorry that happened! DM us and we can help.,Wed Aug 09 22:05:13 +0000 2017
@DeLaetAlicia We're working hard to be available in as many countries as we can! Stay tuned for more details.,Wed Aug 09 17:59:47 +0000 2017
@_bohemiaheart We're working hard to be available in as many countries as we can! Stay tuned for more details.,Wed Aug 09 17:59:39 +0000 2017
@itsNadine_ @sophiekateblogs We’re excited to be shipping to the U.K. later this year! Stay tuned for more details.,Wed Aug 09 17:59:18 +0000 2017
@artangeI Sorry to hear that! DM us and we can help.,Wed Aug 09 17:56:58 +0000 2017
@eirapangilinan Sorry that happened! DM us your order number and we can help.,Wed Aug 09 17:54:40 +0000 2017
@eKristaGarcia @goodiesfirst  "gloss-ee-yay" 💕,Wed Aug 09 17:53:25 +0000 2017
@laurenleialoha Sorry that happened! DM us your order number and we can help.,Wed Aug 09 17:51:34 +0000 2017
@signedshanice Sorry that happened! DM us your order number and we can help.,Wed Aug 09 17:48:35 +0000 2017
.@Glamour UK's @alexsteinherr gets candid about social media; confidence; and fragrance https://t.co/4zUkgiZaf6,Wed Aug 09 17:00:10 +0000 2017
@laylove DM us your order number and we can help!,Wed Aug 09 16:35:31 +0000 2017
@Ashbitious Sorry to hear that! DM us and we can help.,Wed Aug 09 16:33:45 +0000 2017
